doc_id,date,iin,region,service_type,service,amount_kzt,channel,status,days_overdue,is_flagged,flag_reason,direction
D00001,2026-04-01,990020300020,Мангистауская,Штраф,Штраф за парковку,94082,Банк,Ожидает оплаты,0,0,,В бюджет
D00002,2026-04-01,990045300045,Кызылординская,Пошлина,Пошлина за регистрацию недвижимости,5129,ЦОН,Просрочено,105,0,,В бюджет
D00003,2026-04-01,990070300070,Павлодарская,Налог,ИПН индивидуального предпринимателя,22663,Банк,Ожидает оплаты,0,0,,В бюджет
D00004,2026-04-01,990107300107,Атырауская,Штраф,Штраф за парковку,50275,Мобильное приложение,Оплачено,0,0,,В бюджет
D00005,2026-04-01,990023300023,Туркестанская,Пособие,Пособие по уходу за ребёнком,87032,ЦОН,Назначено,0,1,Дубль выплаты: то же пособие назначено дважды,Из бюджета
D00006,2026-04-02,990001300001,Акмолинская,Субсидия,Жилищная помощь,196207,Банк,Отказано,0,0,,Из бюджета
D00007,2026-04-02,990028300028,Павлодарская,Штраф,Штраф за превышение скорости,45574,eGov,Оплачено,0,0,,В бюджет
D00008,2026-04-02,990054300054,Шымкент,Субсидия,Субсидия на коммунальные услуги,249115,Мобильное приложение,Назначено,0,0,,Из бюджета
D00009,2026-04-02,990102300102,Жамбылская,Штраф,Штраф за парковку,81817,ЦОН,Оплачено,0,0,,В бюджет
D00010,2026-04-02,990107300107,Атырауская,Налог,Налог на транспорт,64525,Банк,Оплачено,0,0,,В бюджет
D00011,2026-04-02,990116300116,Павлодарская,Налог,Земельный налог,63269,Банк,Оплачено,0,0,,В бюджет
D00012,2026-04-03,990007300007,Атырауская,Штраф,Штраф за парковку,93612,eGov,Ожидает оплаты,0,0,,В бюджет
D00013,2026-04-03,990058300058,Туркестанская,Налог,Налог на имущество,64736,Мобильное приложение,Оплачено,0,0,,В бюджет
D00014,2026-04-03,990087300087,Карагандинская,Пошлина,Пошлина за регистрацию недвижимости,26779,Банк,Оплачено,0,0,,В бюджет
D00015,2026-04-03,990085300085,Кызылординская,Субсидия,Жилищная помощь,50044,ЦОН,Отказано,0,1,Отказ по субсидии: в регионе доля отказов заметно выше средней,Из бюджета
D00016,2026-04-04,990015300015,Актюбинская,Субсидия,Агросубсидия,167111,Банк,Отказано,0,0,,Из бюджета
D00017,2026-04-04,990076300076,Туркестанская,Пособие,Пособие по уходу за ребёнком,91723,Банк,Назначено,0,0,,Из бюджета
D00018,2026-04-04,990080300080,Туркестанская,Пособие,Пособие по уходу за ребёнком,32917,Банк,Отказано,0,0,,Из бюджета
D00019,2026-04-04,990118300118,Алматы,Налог,Налог на имущество,23112,eGov,Оплачено,0,0,,В бюджет
D00020,2026-04-05,990030300030,Шымкент,Субсидия,Агросубсидия,278069,Банк,Назначено,0,0,,Из бюджета
D00021,2026-04-05,990049300049,Туркестанская,Субсидия,Жилищная помощь,373644,Банк,Назначено,0,0,,Из бюджета
D00022,2026-04-05,990060300060,Туркестанская,Субсидия,Субсидия на коммунальные услуги,383148,eGov,Назначено,0,0,,Из бюджета
D00023,2026-04-05,990076300076,Туркестанская,Пособие,Пособие по уходу за ребёнком,45610,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00024,2026-04-05,990110300110,Астана,Пошлина,Пошлина за загранпаспорт,15463,ЦОН,Просрочено,83,0,,В бюджет
D00025,2026-04-05,990086300086,Кызылординская,Субсидия,Жилищная помощь,45740,ЦОН,Отказано,0,1,Отказ по субсидии: в регионе доля отказов заметно выше средней,Из бюджета
D00026,2026-04-06,990091300091,Мангистауская,Пособие,Пособие по уходу за ребёнком,98849,Мобильное приложение,Отказано,0,0,,Из бюджета
D00027,2026-04-07,990011300011,Карагандинская,Пошлина,Госпошлина за регистрацию авто,24487,ЦОН,Оплачено,0,0,,В бюджет
D00028,2026-04-07,990023300023,Костанайская,Пособие,Пособие по уходу за ребёнком,109355,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00029,2026-04-07,990085300085,Мангистауская,Штраф,Штраф за превышение скорости,44729,Банк,Ожидает оплаты,0,0,,В бюджет
D00030,2026-04-07,990112300112,Костанайская,Штраф,Штраф за превышение скорости,19609,ЦОН,Оплачено,0,0,,В бюджет
